"X";"Y";"lag"
-0.18343;0.0664;1
0.00695;-0.20887;1
0.18687;0.10649;1
0.01353;0.23435;1
0.22887;0.06373;1
0.25789;-0.17958;1
-0.13665;0.30328;1
-0.0139;-0.33679;1
-0.18741;0.30156;1
-0.01248;-0.35821;1
0.35316;0.18934;1
0.43199;0.07658;1
-0.421;-0.1753;1
0.3796;0.28318;1
-0.3844;0.30602;1
0.28981;-0.46581;1
-0.31264;0.47181;1
0.53617;0.23;1
-0.46865;0.37767;1
0.07707;0.60637;1
0.0466;0.70693;1
-0.27202;0.65807;1
-0.25406;0.66627;1
-0.67392;-0.2401;1
0.42699;-0.59262;1
0.10058;-0.73136;1
-0.23215;0.77662;1
0.70188;0.40771;1
-0.6162;0.53085;1
-0.25222;-0.77914;1
0.25454;0.80728;1
-0.26063;-0.82933;1
-0.48325;0.72847;1
-0.37281;0.79975;1
0.30343;0.83269;1
-0.89696;0.10246;1
0.66283;-0.63695;1
-0.89277;-0.23106;1
-0.59424;0.71151;1
-0.93398;0.06768;1
0.64477;-0.67987;1
-0.92764;0.16067;1
0.85398;-0.40171;1
-0.94282;0.06345;1
-0.9474;0.06417;1
-0.93421;0.19199;1
-0.95551;0.0288;1
-0.9474;0.17968;1
-0.05729;-0.0216;2
-0.02428;0.08295;2
0.0572;-0.27556;2
-0.01239;0.31497;2
0.04128;0.36111;2
0.13112;0.38272;2
0.39649;0.09736;2
0.41909;-0.15047;2
-0.43017;0.1972;2
0.51192;-0.0251;2
-0.15677;0.497;2
0.41014;0.37939;2
0.64265;0.06346;2
0.65545;0.14739;2
-0.62219;0.31074;2
0.64347;-0.30058;2
0.66734;0.2606;2
0.72204;0.09007;2
0.72955;-0.04006;2
0.7123;0.24107;2
0.71638;0.25691;2
0.77643;-0.04958;2
0.72759;0.29455;2
-0.1729;-0.77226;2
0.85477;-0.19724;2
0.62505;-0.64603;2
0.85227;0.28963;2
-0.57059;-0.706;2
0.8629;-0.36323;2
-0.44912;0.83584;2
-0.83817;0.47023;2
-0.79054;-0.54549;2
-0.03331;0.03362;3
-0.02486;0.0608;3
0.01294;0.12116;3
0.02069;0.1565;3
0.05446;0.16504;3
-0.13056;-0.1238;3
0.06656;0.16956;3
0.0655;0.17218;3
0.08745;0.20416;3
0.06435;0.21886;3
0.24292;-0.07868;3
0.09654;0.24917;3
0.09121;0.25993;3
-0.05425;-0.28015;3
0.10788;0.29062;3
-0.02483;-0.36674;3
0.04049;0.37918;3
-0.03035;-0.38521;3
-0.30206;0.24676;3
-0.23205;-0.32737;3
0.13702;0.41876;3
0.17901;0.42133;3
-0.13677;-0.43574;3
-0.08774;0.45352;3
